,0,1,2,3
0,SANJAY GANDHI NATIONAL PARK,MARINE DRIVE,GATEWAY OF INDIA,
1,MARINE DRIVE,SANJAY GANDHI NATIONAL PARK,GATEWAY OF INDIA,
2,GATEWAY OF INDIA,SANJAY GANDHI NATIONAL PARK,MARINE DRIVE,
3,SIDDHIVINAYAK TEMPLE,ELEPHANTA CAVES,MOUNT MARY CHURCH,MUMBA DEVI TEMPLE
4,ELEPHANTA CAVES,SIDDHIVINAYAK TEMPLE,MOUNT MARY CHURCH,MUMBA DEVI TEMPLE
5,MOUNT MARY CHURCH,SIDDHIVINAYAK TEMPLE,ELEPHANTA CAVES,MUMBA DEVI TEMPLE
6,MUMBA DEVI TEMPLE,SIDDHIVINAYAK TEMPLE,ELEPHANTA CAVES,MOUNT MARY CHURCH
7,HAJI ALI DARGAH,TARAPOREWALA AQUARIUM,,
8,TARAPOREWALA AQUARIUM,HAJI ALI DARGAH,,
9,BALLOON RIDE MUMBAI,BABULNATH TEMPLE,,
10,BABULNATH TEMPLE,BALLOON RIDE MUMBAI,,
11,MAHALAXMI TEMPLE,POWAI LAKE,,
12,POWAI LAKE,MAHALAXMI TEMPLE,,
